LeadID,VehicleSoldProbability
11505495,0.3136
11452963,0.2878
10961646,0.2798
10825330,0.2581
10855403,0.2536
10956579,0.2514
11222145,0.2508
11178243,0.2506
11223523,0.2497
10901144,0.2496
10811267,0.2494
11492209,0.2472
10806074,0.2467
11303820,0.2465
10947335,0.2456
10822537,0.2448
10833365,0.2438
11500949,0.2422
10985408,0.2412
10846873,0.2407
11012446,0.2404
10805718,0.2398
10824452,0.2396
10935624,0.238
10811218,0.238
10807344,0.2376
10836372,0.2357
10907031,0.2354
10900489,0.2352
10799902,0.2338
10835342,0.2333
11349526,0.2328
10915343,0.2321
10907377,0.2305
10915969,0.2291
11328165,0.2291
10811264,0.2289
11380072,0.2289
10851519,0.2286
10877087,0.2284
10928519,0.2278
10956358,0.2278
10940277,0.2277
10848624,0.2276
10822994,0.2271
10831196,0.2268
10855057,0.2261
10931120,0.2261
10882331,0.2259
10876036,0.2246
10793621,0.2242
10872207,0.224
11476264,0.2239
10872801,0.2239
11491470,0.2238
10991893,0.2233
10801036,0.2232
10926637,0.2231
10947953,0.2229
10987070,0.2227
10906392,0.222
10962740,0.222
11200324,0.2218
11418277,0.2213
10985743,0.221
10827072,0.2208
10972018,0.2207
11325486,0.2207
10874244,0.2205
11011443,0.2204
10929761,0.2202
10944587,0.22
10873452,0.2199
10822583,0.2198
10938108,0.2197
10994222,0.2194
10799006,0.2194
10938885,0.2192
11038307,0.2191
10985403,0.2189
10946764,0.2188
11153367,0.2187
10883703,0.2186
10831484,0.2183
11136037,0.218
10831696,0.218
10847410,0.2179
10935692,0.2179
10876749,0.2179
10945361,0.2175
10905916,0.2175
10867233,0.2174
10804234,0.217
10883758,0.217
10885226,0.217
11317881,0.217
11277840,0.2169
10996052,0.2169
10845397,0.2167
10793640,0.2164
10845584,0.2163
11298687,0.2163
10906677,0.2162
11464368,0.216
10938483,0.2159
11262404,0.2157
10983776,0.2153
10823129,0.2152
10981585,0.2152
10993189,0.2151
10964064,0.2149
10821847,0.2148
10833689,0.2147
10798306,0.2147
10796463,0.2146
10938085,0.2146
10992400,0.2145
10861886,0.2143
10801292,0.2143
11257823,0.2142
11421976,0.2141
10925636,0.2141
10847964,0.2138
10910962,0.2133
10826306,0.2132
11284094,0.2131
10827483,0.2131
10819794,0.2131
10849520,0.213
11275105,0.2128
10927902,0.2127
10889633,0.2123
10891863,0.2121
11277809,0.2121
10940340,0.212
10800123,0.2119
11282701,0.2119
10810663,0.2117
11042330,0.2117
10815980,0.2117
10877807,0.2117
11464590,0.2117
10931708,0.2115
11007641,0.2114
10878713,0.2114
11152857,0.2114
10834187,0.2111
10897668,0.211
10852924,0.2109
10817752,0.2109
10847238,0.2109
11041162,0.2108
11124668,0.2108
10989440,0.2107
10799162,0.2106
11012548,0.2103
11138814,0.2103
11239132,0.2102
10956775,0.2102
10954320,0.2101
10887566,0.2101
11104893,0.21
11209789,0.2099
10835968,0.2099
10801921,0.2097
10794345,0.2096
11251837,0.2096
11034541,0.2096
10838424,0.2095
11251724,0.2095
10831953,0.2095
10914573,0.2092
10956200,0.2092
11398325,0.2092
11207450,0.2092
11323322,0.2091
10832342,0.209
10963723,0.2088
11076501,0.2086
11208729,0.2085
10842541,0.2085
10836700,0.2084
10839635,0.2084
10831816,0.2083
11283730,0.2081
10996156,0.208
10918476,0.208
10906134,0.2079
10945306,0.2077
10904201,0.2076
10822382,0.2076
11052652,0.2073
10834818,0.2073
11004424,0.2073
11038889,0.2072
11214844,0.2072
11229596,0.2072
10844755,0.207
10826324,0.2069
10850522,0.2069
11243142,0.2068
10816007,0.2068
10811550,0.2067
10878085,0.2067
10938811,0.2066
10843524,0.2066
10840556,0.2065
11490067,0.2063
11126834,0.2063
11238971,0.2063
11361995,0.2063
11475400,0.2063
11070737,0.2062
11279247,0.2059
10797326,0.2058
10884203,0.2058
11010614,0.2057
10969304,0.2056
10794370,0.2055
10815636,0.2055
10899550,0.2055
10885319,0.2054
11275632,0.2054
11277401,0.2052
10852843,0.205
11037778,0.205
10847359,0.2048
11034149,0.2048
11283800,0.2047
10819123,0.2047
10987754,0.2047
11235316,0.2045
10899978,0.2044
11004866,0.2044
10978873,0.2044
10946365,0.2044
11218679,0.2043
10807105,0.2043
10935159,0.2043
10869019,0.2043
10870280,0.2043
10794554,0.2041
10903267,0.2039
10840341,0.2039
10822920,0.2038
11008037,0.2037
11234504,0.2037
10845985,0.2037
10984024,0.2036
10903901,0.2035
10972547,0.2035
10863587,0.2035
10936149,0.2035
10890644,0.2035
11263796,0.2035
11262526,0.2034
11111344,0.2033
10832017,0.2033
10847082,0.2032
10996406,0.2031
10796803,0.2031
10924824,0.2031
10806072,0.2029
10875990,0.2028
10807959,0.2028
11293893,0.2027
10831674,0.2027
10891461,0.2027
11042318,0.2026
11152482,0.2026
11251221,0.2026
10903597,0.2026
10890340,0.2026
10839324,0.2026
10814482,0.2025
11283984,0.2025
11159261,0.2025
10818371,0.2025
11043290,0.2024
11142301,0.2023
11171040,0.2023
10823345,0.2022
10809498,0.2022
11219849,0.2022
10883314,0.2021
10857269,0.2021
10964531,0.2021
10852374,0.2021
11022369,0.202
10942655,0.2019
11188652,0.2019
10882053,0.2019
10892264,0.2019
10796506,0.2018
11161860,0.2017
10864734,0.2017
10877766,0.2017
11058923,0.2015
10842911,0.2015
10818938,0.2015
10832668,0.2014
11027012,0.2013
11340226,0.2013
11279257,0.2012
11330539,0.2012
10801069,0.2012
10928837,0.2011
10931256,0.2011
11282719,0.2011
10825363,0.2011
10885845,0.2011
10853434,0.201
11511764,0.201
10960777,0.201
10813987,0.201
10887415,0.2008
10814968,0.2008
10903976,0.2007
11155897,0.2007
11181122,0.2007
10939025,0.2006
10820207,0.2006
10803412,0.2005
10793628,0.2004
10847397,0.2004
10997930,0.2004
11371144,0.2004
11220356,0.2004
10916156,0.2003
10802053,0.2003
10909477,0.2003
10825922,0.2002
11254160,0.2002
11158752,0.2002
10944671,0.2002
10938546,0.2001
10881476,0.2
10940809,0.2
10850165,0.2
10852974,0.1999
10960591,0.1999
10843374,0.1999
11298061,0.1999
10854581,0.1999
10844012,0.1999
10955920,0.1997
10906465,0.1996
10855511,0.1996
10893817,0.1995
10907028,0.1994
10840641,0.1993
10935815,0.1992
11103359,0.1992
11318440,0.1992
10992583,0.1991
10972057,0.1991
11020413,0.1991
10984931,0.1991
10824379,0.1991
10851693,0.199
10937060,0.199
10872036,0.199
10796347,0.1989
10867115,0.1988
11073265,0.1988
11042072,0.1988
11337409,0.1988
10901507,0.1987
10979442,0.1986
10882789,0.1985
10805594,0.1985
10974096,0.1985
10820279,0.1985
10871614,0.1985
10890534,0.1985
11000144,0.1984
11214770,0.1984
11186914,0.1984
11186792,0.1984
10988796,0.1983
10981402,0.1983
10805507,0.1983
10895875,0.1982
10850704,0.1982
11035116,0.1982
10949787,0.1981
11151758,0.1981
11186662,0.198
10999838,0.198
